code,product_name,countries,ingredients_text,sugars_100g,nutrition_grade_fr,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,proteins_100g,energy_100g,brands,additives_n,nutrition-score-fr_100g,carbohydrates_100g,pnns_groups_combined
5425008345123,amande ,"belgique,france","pure beurre de cacao, sucre de canne, fibres d'agave (inuline), lait écrémé en poudre, amandes grillées caramélisées, graines de lin, émulsifiants : lécithine de soja sans ogm, arôme de vanille. ",27.5,D,37.5,20.0,0.133,2.4,10.0,2030.0,newtree,1.0,17.0,34.0,snacks sucrés
5425008345147,newtree superfruit,"belgique,france","pâte de cacao, sucre de canne, fibres d'agave (inuline), pur beurre de cacao, canneberges, grenades lyophilisées, extrait de marc de raisin, arôme de papaye, émulsifiant : lécithine de soja sans ogm, arôme de vanille. cacao : minimum 66 %.",28.1,D,32.5,20.2,0.0127,2.4,5.3,2069.0,newtree,1.0,17.0,37.2,snacks sucrés
5425008346090,pâte à tartiner noir & noisette newtree,"belgique,france","glucose, chocolat noir (pâte de cacao, sucre de canne, fibres d'agave (inuline), pur beurre de cacao, émulsifiant : lécithine de _soja_, arôme naturel de vanille. cacao : min 66%), sucre inverti, lait d'_amande_ (13 %), pâte de _noisette_ (13 %), inuline d'agave, cacao maigre en poudre, acide ascorbique, sel, extrait naturel de romarin.",32.4,C,15.8,4.6,0.21336,2.4,3.6,1473.0,newtree,2.0,10.0,48.3,snacks sucrés
5425008346113,gaufrette caremel newtree,"belgique,france","farine de froment, sirop de froment, sucre de canne, margarine (huile de tournesol, beurre de cacao, eau, émulsifiant : lécithine de tournesol, acidifiant: acide citrique, extrait de carotte), beurre, inuline d'agave, sirop d'agave, émulsifiant : lécithine de tournesol, poudre d'œuf entier, caramel 1 %, sel marin, cannelle, poudre à lever: biocarbonate de sodium, arôme naturel de vanille.",44.3,D,15.7,4.6,0.001016,2.4,3.8,1791.0,newtree,2.0,14.0,66.4,snacks sucrés
5601286414762,bolacha maria,"switzerland,france","farinha de _trigo_ 62%, açúcar, gordura vegetal de palma, glicose, levedantes (bicarbonato de sódio e amónio), emulsionante (lecitina de _soja_), sal, antioxidante (_metabissulfito_ de sódio)",22.0,D,10.0,4.4,0.75,2.4,8.0,1819.0,nacional,1.0,13.0,77.0,snacks sucrés
5900951139567,"intense 65 % cacao, chocolat noir et cacahuète","belgium,denmark,france,poland","sucre, pâte de cacao, cacahuètes, amidon, matière grasse de palme, sirop de glucose, stabilisant (gomme arabique), colorants (e100, e132, e133, e160a, e160e, e162, e171), émulsifiant (lécithine de soja), lait écrémé en poudre, dextrine, agent d'enrobage (cire de carnauba), huile de noix de coco, sel arôme.",41.9,E,30.2,14.0,0.15,0.0,10.2,2177.0,"m&m's,mars",8.5,25.0,48.1,snacks sucrés
5900951139598,intense 65% cacao,"france,pologne","sucre, pâte de cacao, cacahuètes, amidon, matière grasse végétale, sirop de glucose, stabilisant (gomme arabique), dextrine, émulsifiant (lécithine de soja), colorants (e100, e120, e132, e133, e160e, e162, e171), lait écrémé en poudre, agent d'enrobage (cire de carnauba), huile végétale, sel, arôme.",42.4,E,30.0,13.899999999999999,0.1524,2.4,10.1,2175.0,m&m's,8.5,20.0,48.6,snacks sucrés
5900951141638,m&m's chocolate,"frankreich,deutschland","zucker, kakaomasse, _vollmilchpulver_, kakaobutter, _milchzucker_, süßmolkenpulver (aus _milch_), stärke, glukosesirup, stabilisator (gummi arabicum), farbstoffe (e100, e133, e160a, e160e, e162, e171, e172), emulgator (_sojalecithin_), dextrin, überzugsmittel (carnaubawachs), kokosnussöl, aroma (natürlicher vanilleextrakt), salz",65.5,E,20.7,12.7,0.11,0.0,5.1,2050.0,"m&m's,mars",8.5,26.0,68.9,snacks sucrés
5900951259821,m&m's mix,"belgique, en:france",unknown,56.3,E,24.7,12.5,0.17,0.0,7.6,2124.0,m&m's,0.0,26.0,61.9,snacks sucrés
59032823,nutella,"belgium,france,italy,spain,switzerland,united kingdom,greece","sucre, huile végétale, _noisettes_ 13%, cacao maigre 7.4%, _lait_ écrémé en poudre 6.6%, _lactosérum_ en poudre, émulsifiant (lécithine de _soja_, vanilline)",56.8,E,31.6,11.0,0.114,0.0,6.0,2278.0,"nutella,ferrero",0.0,26.0,57.6,snacks sucrés
59920564,aftereight noël,"belgique,france","pâte de cacao, sucre, beurre de cacao, émulsifiants : (lécithine de tournesol), huile de menthe poivrée, extrait de vanille naturelle.",43.60000000000001,E,35.8,20.6,0.02,2.4,5.7,2258.0,after eight,1.0,20.0,45.7,snacks sucrés
6921211109143,mentos frutas,"france,espagne","sucre, sirop de glucose, jus de fruits (fraise, orange, citron) (2,5%), huile végétale hydrogénée, acidifiant (acide citrique), amidon, gélifiant (e414, e418), arômes, agent de recouvrement (cire de carnauba), émulsifiant (sucroesters d'acides gras), colorants (bêta-carotène, rouge de betterave)",69.0,D,1.5999999999999996,1.6,0.1016,2.4,0.7724999999999995,1636.0,"mentos,perfetti van melle",7.0,15.0,82.0,snacks sucrés
7040110642106,påske-egg,"france,norvège","sucre, graisse végétale (palme, karité), _lait_ écrémé en poudre, beurre de cacao, _lait_ en poudre, poudre de lactosérum (_lait_), matière grasse de _lait_, émulsifiants (lécithine de _soja_, e476, e475, e442, lécithine de tournesol), noisettes, arômes.",51.5,E,37.0,18.000000000000004,0.28,2.4,6.8,2375.0,freia,4.0,27.0,52.0,snacks sucrés
7312220095760,pepparkakor puolukkapiparkakkuja,"france,suède","sucre, huiles végétales (palme, canola, noix de coco), bicarbonate de soude (bicarbonate de sodium), sel, arôme de canneberge.",33.4,E,18.8,9.1,1.065,2.4,5.4,2002.0,annas,1.0,25.0,70.9,snacks sucrés
